Entity,Code,Year,Renewables per capita (kWh - equivalent)
Africa,,1965,127.91771
Africa,,1966,139.12256
Africa,,1967,141.5766
Africa,,1968,161.39375
Africa,,1969,183.53687
Africa,,1970,223.56761
Africa,,1971,206.47203
Africa,,1972,229.00677
Africa,,1973,235.90248
Africa,,1974,261.10275
Africa,,1975,268.4201
Africa,,1976,289.09085
Africa,,1977,308.83777
Africa,,1978,302.66837
Africa,,1979,314.55762
Africa,,1980,298.03812
Africa,,1981,300.8455
Africa,,1982,292.26404
Africa,,1983,256.08322
Africa,,1984,244.92314
Africa,,1985,264.69916
Africa,,1986,268.0142
Africa,,1987,250.02132
Africa,,1988,265.27045
Africa,,1989,270.88193
Africa,,1990,269.09778
Africa,,1991,277.58957
Africa,,1992,258.48517
Africa,,1993,247.4276
Africa,,1994,244.7312
Africa,,1995,248.32277
Africa,,1996,253.33286
Africa,,1997,253.70827
Africa,,1998,259.5682
Africa,,1999,268.2301
Africa,,2000,281.05933
Africa,,2001,293.18298
Africa,,2002,298.24084
Africa,,2003,282.35654
Africa,,2004,290.35574
Africa,,2005,286.51843
Africa,,2006,289.99966
Africa,,2007,288.54907
Africa,,2008,285.72278
Africa,,2009,285.4041
Africa,,2010,300.51077
Africa,,2011,300.45248
Africa,,2012,294.06265
Africa,,2013,303.2119
Africa,,2014,316.7774
Africa,,2015,314.02972
Africa,,2016,307.58423
Africa,,2017,325.6299
Africa,,2018,343.08066
Africa,,2019,358.0289
Africa,,2020,371.05777
Africa,,2021,380.82028
Algeria,DZA,1965,95.53111
Algeria,DZA,1966,83.2235
Algeria,DZA,1967,94.0028
Algeria,DZA,1968,126.20633
Algeria,DZA,1969,79.1247
Algeria,DZA,1970,124.31607
Algeria,DZA,1971,69.15576
Algeria,DZA,1972,101.36669
Algeria,DZA,1973,150.38446
Algeria,DZA,1974,96.981804
Algeria,DZA,1975,61.67956
Algeria,DZA,1976,69.71108
Algeria,DZA,1977,46.42354
Algeria,DZA,1978,41.92492
Algeria,DZA,1979,47.365265
Algeria,DZA,1980,40.55343
Algeria,DZA,1981,55.92673
Algeria,DZA,1982,70.81954
Algeria,DZA,1983,33.59872
Algeria,DZA,1984,62.474915
Algeria,DZA,1985,86.30655
Algeria,DZA,1986,32.306145
Algeria,DZA,1987,62.559628
Algeria,DZA,1988,22.321026
Algeria,DZA,1989,26.849836
Algeria,DZA,1990,15.643562
Algeria,DZA,1991,33.15225
Algeria,DZA,1992,21.999186
Algeria,DZA,1993,38.159126
Algeria,DZA,1994,17.570253
Algeria,DZA,1995,20.039974
Algeria,DZA,1996,13.772591
Algeria,DZA,1997,7.5238814
Algeria,DZA,1998,21.245111
Algeria,DZA,1999,19.78077
Algeria,DZA,2000,5.1886096
Algeria,DZA,2001,6.4968305
Algeria,DZA,2002,5.2608757
Algeria,DZA,2003,23.974781
Algeria,DZA,2004,22.248251
Algeria,DZA,2005,48.24676
Algeria,DZA,2006,18.518274
Algeria,DZA,2007,18.8043
Algeria,DZA,2008,23.004215
Algeria,DZA,2009,27.13679
Algeria,DZA,2010,14.095838
Algeria,DZA,2011,29.902805
Algeria,DZA,2012,30.592276
Algeria,DZA,2013,9.151515
Algeria,DZA,2014,17.75302
Algeria,DZA,2015,15.118675
Algeria,DZA,2016,22.301409
Algeria,DZA,2017,37.457855
Algeria,DZA,2018,46.065006
Algeria,DZA,2019,47.960056
Algeria,DZA,2020,44.865803
Algeria,DZA,2021,40.50162
Argentina,ARG,1965,164.26549
Argentina,ARG,1966,163.79045
Argentina,ARG,1967,165.11127
Argentina,ARG,1968,191.60696
Argentina,ARG,1969,169.22238
Argentina,ARG,1970,200.6452
Argentina,ARG,1971,196.51485
Argentina,ARG,1972,190.3889
Argentina,ARG,1973,361.89407
Argentina,ARG,1974,587.97815
Argentina,ARG,1975,601.5391
Argentina,ARG,1976,571.4519
Argentina,ARG,1977,645.98193
Argentina,ARG,1978,851.3511
Argentina,ARG,1979,1153.4015
Argentina,ARG,1980,1608.8425
Argentina,ARG,1981,1534.8993
Argentina,ARG,1982,1811.2704
Argentina,ARG,1983,1870.7758
Argentina,ARG,1984,1982.6127
Argentina,ARG,1985,2029.0524
Argentina,ARG,1986,2035.298
Argentina,ARG,1987,2086.509
Argentina,ARG,1988,1436.1788
Argentina,ARG,1989,1222.8329
Argentina,ARG,1990,1617.8336
Argentina,ARG,1991,1430.0657
Argentina,ARG,1992,1700.5908
Argentina,ARG,1993,2074.4868
Argentina,ARG,1994,2348.6667
Argentina,ARG,1995,2253.4985
Argentina,ARG,1996,1898.562
Argentina,ARG,1997,2322.6152
Argentina,ARG,1998,2181.5488
Argentina,ARG,1999,1751.8158
Argentina,ARG,2000,2315.351
Argentina,ARG,2001,2902.0083
Argentina,ARG,2002,2806.8796
Argentina,ARG,2003,2640.2305
Argentina,ARG,2004,2347.1194
Argentina,ARG,2005,2587.7886
Argentina,ARG,2006,2829.686
Argentina,ARG,2007,2303.9253
Argentina,ARG,2008,2275.451
Argentina,ARG,2009,2472.1309
Argentina,ARG,2010,2510.7317
Argentina,ARG,2011,2393.6736
Argentina,ARG,2012,2301.1907
Argentina,ARG,2013,2538.994
Argentina,ARG,2014,2525.8293
Argentina,ARG,2015,2512.791
Argentina,ARG,2016,2308.8943
Argentina,ARG,2017,2465.459
Argentina,ARG,2018,2523.8584
Argentina,ARG,2019,2481.0369
Argentina,ARG,2020,2382.1716
Argentina,ARG,2021,2385.648
Asia,,1965,222.3872
Asia,,1966,226.4411
Asia,,1967,206.75436
Asia,,1968,224.33263
Asia,,1969,227.21378
Asia,,1970,227.32373
Asia,,1971,242.87311
Asia,,1972,245.58287
Asia,,1973,223.31256
Asia,,1974,248.8767
Asia,,1975,262.73886
Asia,,1976,264.90094
Asia,,1977,255.56485
Asia,,1978,264.37234
Asia,,1979,281.43222
Asia,,1980,297.12375
Asia,,1981,312.46454
Asia,,1982,313.3928
Asia,,1983,322.9857
Asia,,1984,319.09097
Asia,,1985,368.45828
Asia,,1986,364.78372
Asia,,1987,370.04752
Asia,,1988,415.47903
Asia,,1989,418.09872
Asia,,1990,426.91708
Asia,,1991,424.13998
Asia,,1992,420.3218
Asia,,1993,457.65906
Asia,,1994,450.61148
Asia,,1995,482.2035
Asia,,1996,472.41638
Asia,,1997,467.31732
Asia,,1998,488.76044
Asia,,1999,473.5646
Asia,,2000,483.60355
Asia,,2001,510.66898
Asia,,2002,519.1105
Asia,,2003,530.57367
Asia,,2004,611.5912
Asia,,2005,627.103
Asia,,2006,680.56573
Asia,,2007,707.9423
Asia,,2008,794.84705
Asia,,2009,780.2894
Asia,,2010,896.9883
Asia,,2011,921.7283
Asia,,2012,1037.4182
Asia,,2013,1130.5984
Asia,,2014,1242.2982
Asia,,2015,1316.461
Asia,,2016,1406.5233
