,greenhousegas_emissione_mtco2equivalent,total_government_revenue_proportion_of_gdp_perc,fdi_inflows_millionusd,annual_growth_rate_perc,proportion_of_population_with_primary_reliance_on_clean_fuels_a,mortality_rate_perc,renewable_energy_share_on_the_total_energy_consumption,co2emissions_from_fuel_combustion_in_millions_of_tonnes,fossilfuel_subsidies_consumption_and_production_billionusd,randd_expenditure_proportionofgdp_perc,national_action_plans_as_priority_national_policies,number_of_companies_publishing_sustainability_reports,education_for_sustainable_development,enhance_policy_coherence_for_sustainable_development,land_degraded_over_total_land_area,IIASA rates of no education projections (IIASA (2015)),GDP (constant 2015 US$),"Literacy rate, adult total (% of people ages 15 and above)",Annual CO₂ emissions (zero filled),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Country
Afghanistan,,,,,,,,,,,,,,,,,,,,,Afghanistan
Albania,1.0,0.7380952380952381,0.7142857142857143,0.2619047619047619,0.9285714285714286,,0.19047619047619047,-0.29940656547831473,,,,,,,,,0.9285714285714286,,0.5952380952380952,,Albania
Algeria,,,,,,,,,,,,,,,,,,,,,Algeria
American Samoa,,,,,,,,,,,,,,,,,,,,,American Samoa
Andorra,,,,,,,,,,,,,,,,,,,,,Andorra
Angola,,,,,,,,,,,,,,,,,,,,,Angola
Anguilla,,,,,,,,,,,,,,,,,,,,,Anguilla
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,Antigua and Barbuda
Argentina,,,,,,,,,,,,,,,,,,,,,Argentina
Armenia,,,,,,,,,,,,,,,,,,,,,Armenia
Aruba,,,,,,,,,,,,,,,,,,,,,Aruba
Australia,1.0,-0.16408668730650156,0.4943240454076367,-0.5624355005159959,0.0,-0.8,0.5400103972088299,0.8369453044375645,0.9,0.5666666666666667,,0.4,,,,,0.785345717234262,,0.9834881320949431,-0.4333333333333333,Australia
Austria,1.0,-0.457172342621259,-0.11661506707946336,0.5748194014447884,0.0,0.8,-0.9360165118679049,0.977296181630547,0.5,-0.8121775025799793,,0.0,,,,,-0.739938080495356,,0.9938080495356036,0.5833333333333333,Austria
Azerbaijan,1.0,-0.2571428571428572,0.19580419580419584,-0.08391608391608392,0.7005264683383463,,-0.08391608391608392,0.6223776223776224,,-0.6643356643356644,,,,,,,0.7062937062937062,0.8857142857142858,0.8181818181818182,0.0,Azerbaijan
Bahamas,,,,,,,,,,,,,,,,,,,,,Bahamas
Bahrain,,,,,,,,,,,,,,,,,,,,,Bahrain
Bangladesh,,,,,,,,,,,,,,,,,,,,,Bangladesh
Barbados,1.0,-0.5476190476190477,0.7447763937925935,-0.5606743638663344,0.0,,-0.945614971893967,,,,,,,,,,0.7280398456174789,,0.9288784237188525,,Barbados
Belarus,1.0,-0.03199174406604747,0.6057791537667699,0.013415892672858616,0.0,0.0,0.44811570246392385,0.9256965944272446,0.6,0.4264705882352941,,,,,,,0.500515995872033,,0.9339525283797729,0.13693063937629152,Belarus
Belgium,1.0,-0.7275541795665634,0.09184726522187822,0.2693498452012384,0.0,1.0,-0.9401444788441693,0.9834881320949431,-0.7,-0.9289215686274509,,-0.4,,,,,-0.9401444788441693,,0.9979360165118678,0.8666666666666666,Belgium
Belize,,,,,,,,,,,,,,,,,,,,,Belize
Benin,,,,,,,,,,,,,,,,,,,,,Benin
Bermuda,,,,,,,,,,,,,,,,,,,,,Bermuda
Bhutan,1.0,-0.1076923076923077,0.6791208791208792,-0.25274725274725274,0.9912087912087912,,-0.7722776950443788,,,,,,,,,,0.9912087912087912,,0.8637362637362638,0.0,Bhutan
Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,Bolivia (Plurinational State of)
Bosnia and Herzegovina,1.0,0.3216783216783217,0.15384615384615383,-0.5274725274725275,-0.883387865131597,,-0.41208791208791207,0.8791208791208792,,0.5878787878787879,,,,,,,0.8461538461538461,,0.8901098901098902,0.0,Bosnia and Herzegovina
Botswana,,,,,,,,,,,,,,,,,,,,,Botswana
Brazil,1.0,-0.03571428571428571,0.825,-0.33928571428571425,0.9664431329024387,,-0.30357142857142855,0.9892857142857141,,0.9142857142857143,,,,,,,0.9749999999999999,0.9370629370629371,0.9857142857142855,-0.7380952380952381,Brazil
