country,co2_emissions,air_pollution,mortality,gdp,growth,fdi,revenue_proportion
Afghanistan,1237247.0,100.0,0.353,7228792320.0,-0.0440611,0.68,0.1209551
Albania,3748272.0,100.0,0.114,6857137152.0,-0.032064,133.05633,0.2362737999999999
Algeria,87853350.0,100.0,0.139,105045819392.0,-0.0663060999999999,-584.5392,0.3544706999999999
American Samoa,0.0,100.0,,615461056.0,,,
Andorra,448884.0,16.598979949951172,,2532836608.0,-0.1209286,,
Angola,8988970.0,100.0,0.222,47607984128.0,-0.0707985,-7397.29541,0.1572077
Anguilla,95264.0,,,,-0.3049832,11.40072,0.1911238
Antigua and Barbuda,329760.0,100.0,0.174,1031233664.0,-0.2084924,46.06148,0.1802614
Argentina,124392350.0,93.85282135009766,0.157,336999448576.0,-0.1185478,1652.011,0.166827
Armenia,3076793.0,100.0,0.1989999999999999,4912347648.0,-0.1356957,69.869,0.1797534999999999
Aruba,778954.0,,,2628802048.0,-0.226493,-469.73759,
Australia,361540800.0,24.89358329772949,0.086,926117003264.0,-0.0149174,-28294.65356,0.3058292
Austria,62037450.0,85.01593780517578,0.104,320340361216.0,-0.0726571,-8508.30643,0.4778631
Azerbaijan,29640750.0,100.0,0.272,14334201856.0,-0.0517315,-4748.88,0.3438102
Bahamas,1853984.0,100.0,0.1939999999999999,10700067840.0,-0.1533225,353.707,0.0999445
Bahrain,15868013.0,100.0,0.161,16362889216.0,-0.0875317,64.89362,0.1565778
Bangladesh,31981244.0,100.0,0.186,91063222272.0,0.0253230999999999,335.47,0.0898996
Barbados,1021585.94,100.0,0.156,3906818560.0,-0.1770036,91.50491,0.2473153
Belarus,53844144.0,99.9313507080078,0.238,28729692160.0,-0.039079,95.8,0.2575137
Belgium,90368010.0,91.78911590576172,0.106,376043536384.0,-0.0606906,-13857.25272,0.4813738
Belize,392048.0,100.0,0.1639999999999999,1159940608.0,-0.1827142,-10.925,0.2222881
Benin,2110055.0,100.0,0.226,6855207936.0,-0.0124591,13.50812,0.1579193
Bermuda,366400.0,100.0,,6416620032.0,-0.048065,-288.10927,
Bhutan,290832.0,100.0,0.185,787820736.0,-0.0191162,-33.91512,0.2624778
Bolivia,,,0.179,,-0.1007853,-238.62,0.2730964
Bosnia and Herz.,13566311.0,99.95523834228516,0.187,11490710528.0,-0.0372995,118.86707,0.2284454
Botswana,3825216.0,100.0,0.27,7984444416.0,-0.0977034,30.68192,0.2859377999999999
Brazil,344645000.0,67.95256042480469,0.155,1239639261184.0,-0.0474056,10143.525,0.3848195
British Virgin Islands,135568.0,,,,-0.1475329,-7142.639,
Brunei,,,0.185,,-0.0378028,-149.64129,
Bulgaria,36967110.0,99.89349365234376,0.242,33387216896.0,-0.0367614999999999,461.57503,0.3211479
Burkina Faso,1001313.0,100.0,0.239,5682675712.0,-0.0081766,2.57269,0.1386279
Burundi,153888.0,100.0,0.25,2059104128.0,-0.0413218,-0.00229,0.2517389
Cabo Verde,,,0.148,,-0.15711,12.41325,0.2696985
