country,revenue,fdi,growth_rate,co2_emissions,gdp,mortality_rate,air_pollution,literacy_rate,renewable
Afghanistan,0.1209551,0.68,-0.0440611,84272.0,7228792320.0,0.353,100.0,18.15768051147461,62.92135
Africa,,,,93452170.0,,,,,16.272135
Africa (GCP),,,,94924860.0,,,,,
Aland Islands,,,,0.0,,,,,
Albania,0.2362737999999999,133.05633,-0.032064,296725.0,3527708160.0,0.114,100.0,95.93863677978516,86.36364
Algeria,0.3544706999999999,-584.5392,-0.0663060999999999,3783605.0,16652383232.0,0.139,100.0,49.63087844848633,0.20929259
American Samoa,,,,0.0,615461056.0,,100.0,97.34416198730467,0.0
Andorra,,,-0.1209286,0.0,859118336.0,,16.598979949951172,,
Angola,0.1572077,-7397.29541,-0.0707985,186864.0,25684482048.0,0.222,100.0,66.03011322021484,59.347553
Anguilla,0.1911238,11.40072,-0.3049832,0.0,,,,,
Antarctica,,,,0.0,,,,,
Antigua and Barbuda,0.1802614,46.06148,-0.2084924,0.0,346269184.0,0.174,100.0,98.9499969482422,0.0
Argentina,0.166827,1652.011,-0.1185478,29921192.0,149261090816.0,0.157,93.85282135009766,93.91285705566406,22.214266
Armenia,0.1797534999999999,69.869,-0.1356957,1481873.0,2736999936.0,0.1989999999999999,100.0,98.75196075439452,17.235188
Aruba,,-469.73759,-0.226493,179536.0,1079459840.0,,,96.82263946533205,0.0
Asia,,,,455045440.0,,,,,12.906311
Asia (GCP),,,,368892600.0,,,,,
Asia (excl. China and India),,,,288908030.0,,,,,
Australia,0.3058292,-28294.65356,-0.0149174,54738652.0,205048659968.0,0.086,24.89358329772949,,7.804379
Austria,0.4778631,-8508.30643,-0.0726571,20894256.0,84930961408.0,0.104,85.01593780517578,,60.695835
Azerbaijan,0.3438102,-4748.88,-0.0517315,8951966.0,8472232960.0,0.272,100.0,98.79180145263672,5.0041018
Bahamas,0.0999445,353.707,-0.1533225,54960.0,2201670912.0,0.1939999999999999,100.0,,0.0
Bahrain,0.1565778,64.89362,-0.0875317,575248.0,6757216256.0,0.161,100.0,69.75350952148438,0.0
Bangladesh,0.0898996,335.47,0.0253230999999999,993068.0,22247411712.0,0.186,100.0,29.227230072021484,1.3401768
Barbados,0.2473153,91.50491,-0.1770036,73280.0,2794927872.0,0.156,100.0,99.26808166503906,0.0
Belarus,0.2575137,95.8,-0.039079,18850284.0,19230431232.0,0.238,99.9313507080078,97.88336944580078,0.04521878
Belgium,0.4813738,-13857.25272,-0.0606906,76200490.0,107409842176.0,0.106,91.78911590576172,,0.59314054
Belize,0.2222881,-10.925,-0.1827142,18320.0,110027504.0,0.1639999999999999,100.0,70.29842376708984,40.625
Benin,0.1579193,13.50812,-0.0124591,0.0,1644635648.0,0.226,100.0,16.482730865478516,0.0
Bermuda,,-288.10927,-0.048065,43968.0,1684353408.0,,100.0,,
Bhutan,0.2624778,-33.91512,-0.0191162,0.0,163460688.0,0.185,100.0,52.81468963623047,100.0
Bolivia,0.2730964,-238.62,-0.1007853,461515.0,4727739904.0,0.179,99.99748229980467,63.20814895629883,37.471786
Bonaire Sint Eustatius and Saba,,,,3593.0,,,,,
Bosnia and Herz.,0.2284454,118.86707,-0.0372995,2514183.0,2437270528.0,0.187,99.95523834228516,89.06359100341797,24.450193
Botswana,0.2859377999999999,30.68192,-0.0977034,0.0,179758848.0,0.27,100.0,68.5809097290039,0.0
Brazil,0.3848195,10143.525,-0.0474056,19659072.0,188463841280.0,0.155,67.95256042480469,74.58673095703125,74.04187
British Virgin Islands,,-7142.639,-0.1475329,0.0,,,,,0.0
Brunei,,,,293120.0,6708427776.0,,0.0,77.7354965209961,0.0
